"sede_codigo","total_act_2022","total_act_2023","diferencia","tendencia"
"485001004569","2","2","0","SIN CAMBIO"
"485001003775","2","2","0","SIN CAMBIO"
"481065800029","2","2","0","SIN CAMBIO"
"476895000382","2","2","0","SIN CAMBIO"
"476892100092","2","2","0","SIN CAMBIO"
"476892100084","2","2","0","SIN CAMBIO"
"476892100033","2","2","0","SIN CAMBIO"
"476892099710","2","2","0","SIN CAMBIO"
"476736000258","2","2","0","SIN CAMBIO"
"476520006359","2","2","0","SIN CAMBIO"
"476364002569","2","2","0","SIN CAMBIO"
"476364002372","2","2","0","SIN CAMBIO"
"476318000284","2","2","0","SIN CAMBIO"
"476275000404","2","2","0","SIN CAMBIO"
"476248001041","2","2","0","SIN CAMBIO"
"476130001283","2","2","0","SIN CAMBIO"
"476130000953","2","2","0","SIN CAMBIO"
"476130000902","2","2","0","SIN CAMBIO"
"476130000571","2","2","0","SIN CAMBIO"
"476001800374","2","2","0","SIN CAMBIO"
"476001800153","2","2","0","SIN CAMBIO"
"476001029953","2","2","0","SIN CAMBIO"
"476001020719","2","2","0","SIN CAMBIO"
"476001005957","2","2","0","SIN CAMBIO"
"473268800005","2","2","0","SIN CAMBIO"
"468820000341","2","2","0","SIN CAMBIO"
"468755000827","2","2","0","SIN CAMBIO"
"468547800062","2","2","0","SIN CAMBIO"
"468547800020","2","2","0","SIN CAMBIO"
"468547002051","2","2","0","SIN CAMBIO"
